"id",""sepal length in cm","sepal width in cm","petal length in cm","petal width in cm"
"record-60",5.2,2.7,3.9,1.4,"versicolor"
"record-61",5.0,2.0,3.5,1.0,"versicolor"
"record-62",5.9,3.0,4.2,1.5,"versicolor"
"record-63",6.0,2.2,4.0,1.0,"versicolor"
"record-64",6.1,2.9,4.7,1.4,"versicolor"
"record-65",5.6,2.9,3.6,1.3,"versicolor"
"record-66",6.7,3.1,4.4,1.4,"versicolor"
"record-67",5.6,3.0,4.5,1.5,"versicolor"
"record-68",5.8,2.7,4.1,1.0,"versicolor"
"record-69",6.2,2.2,4.5,1.5,"versicolor"
"record-70",5.6,2.5,3.9,1.1,"versicolor"
"record-71",5.9,3.2,4.8,1.8,"versicolor"
"record-72",6.1,2.8,4.0,1.3,"versicolor"
"record-73",6.3,2.5,4.9,1.5,"versicolor"
"record-74",6.1,2.8,4.7,1.2,"versicolor"
"record-75",6.4,2.9,4.3,1.3,"versicolor"
"record-76",6.6,3.0,4.4,1.4,"versicolor"
"record-77",6.8,2.8,4.8,1.4,"versicolor"
"record-78",6.7,3.0,5.0,1.7,"versicolor"
"record-79",6.0,2.9,4.5,1.5,"versicolor"
"record-80",5.7,2.6,3.5,1.0,"versicolor"
"record-81",5.5,2.4,3.8,1.1,"versicolor"
"record-82",5.5,2.4,3.7,1.0,"versicolor"
"record-83",5.8,2.7,3.9,1.2,"versicolor"
"record-84",6.0,2.7,5.1,1.6,"versicolor"
"record-85",5.4,3.0,4.5,1.5,"versicolor"
"record-86",6.0,3.4,4.5,1.6,"versicolor"
"record-87",6.7,3.1,4.7,1.5,"versicolor"
"record-88",6.3,2.3,4.4,1.3,"versicolor"
"record-89",5.6,3.0,4.1,1.3,"versicolor"
"record-90",5.5,2.5,4.0,1.3,"versicolor"
"record-91",5.5,2.6,4.4,1.2,"versicolor"
"record-92",6.1,3.0,4.6,1.4,"versicolor"
"record-93",5.8,2.6,4.0,1.2,"versicolor"
"record-94",5.0,2.3,3.3,1.0,"versicolor"
"record-95",5.6,2.7,4.2,1.3,"versicolor"
"record-96",5.7,3.0,4.2,1.2,"versicolor"
"record-97",5.7,2.9,4.2,1.3,"versicolor"
"record-98",6.2,2.9,4.3,1.3,"versicolor"
"record-99",5.1,2.5,3.0,1.1,"versicolor"
"record-100",5.7,2.8,4.1,1.3,"versicolor"
"record-101",6.3,3.3,6.0,2.5,"virginica"
"record-102",5.8,2.7,5.1,1.9,"virginica"
"record-103",7.1,3.0,5.9,2.1,"virginica"
"record-104",6.3,2.9,5.6,1.8,"virginica"
"record-105",6.5,3.0,5.8,2.2,"virginica"
"record-106",7.6,3.0,6.6,2.1,"virginica"
"record-107",4.9,2.5,4.5,1.7,"virginica"
"record-108",7.3,2.9,6.3,1.8,"virginica"
"record-109",6.7,2.5,5.8,1.8,"virginica"
"record-110",7.2,3.6,6.1,2.5,"virginica"
"record-111",6.5,3.2,5.1,2.0,"virginica"
"record-112",6.4,2.7,5.3,1.9,"virginica"
"record-113",6.8,3.0,5.5,2.1,"virginica"
"record-114",5.7,2.5,5.0,2.0,"virginica"
"record-115",5.8,2.8,5.1,2.4,"virginica"
"record-116",6.4,3.2,5.3,2.3,"virginica"
"record-117",6.5,3.0,5.5,1.8,"virginica"
"record-118",7.7,3.8,6.7,2.2,"virginica"
"record-119",7.7,2.6,6.9,2.3,"virginica"
"record-120",6.0,2.2,5.0,1.5,"virginica"
"record-121",6.9,3.2,5.7,2.3,"virginica"
"record-122",5.6,2.8,4.9,2.0,"virginica"
"record-123",7.7,2.8,6.7,2.0,"virginica"
"record-124",6.3,2.7,4.9,1.8,"virginica"
"record-125",6.7,3.3,5.7,2.1,"virginica"
"record-126",7.2,3.2,6.0,1.8,"virginica"
"record-127",6.2,2.8,4.8,1.8,"virginica"
"record-128",6.1,3.0,4.9,1.8,"virginica"
"record-129",6.4,2.8,5.6,2.1,"virginica"
"record-130",7.2,3.0,5.8,1.6,"virginica"
"record-131",7.4,2.8,6.1,1.9,"virginica"
"record-132",7.9,3.8,6.4,2.0,"virginica"
"record-133",6.4,2.8,5.6,2.2,"virginica"
"record-134",6.3,2.8,5.1,1.5,"virginica"
"record-135",6.1,2.6,5.6,1.4,"virginica"
"record-136",7.7,3.0,6.1,2.3,"virginica"
"record-137",6.3,3.4,5.6,2.4,"virginica"
"record-138",6.4,3.1,5.5,1.8,"virginica"
"record-139",6.0,3.0,4.8,1.8,"virginica"
"record-140",6.9,3.1,5.4,2.1,"virginica"
"record-141",6.7,3.1,5.6,2.4,"virginica"
"record-142",6.9,3.1,5.1,2.3,"virginica"
"record-143",5.8,2.7,5.1,1.9,"virginica"
"record-144",6.8,3.2,5.9,2.3,"virginica"
"record-145",6.7,3.3,5.7,2.5,"virginica"
"record-146",6.7,3.0,5.2,2.3,"virginica"
"record-147",6.3,2.5,5.0,1.9,"virginica"
"record-148",6.5,3.0,5.2,2.0,"virginica"
"record-149",6.2,3.4,5.4,2.3,"virginica"
"record-150",5.9,3.0,5.1,1.8,"virginica"
